             t,          Mass,      FuelMass,       Aileron,      Elevator,        Rudder,        Throttle,         alpha,          beta,             V,             u,             v,             w,             p,             q,             r,           Phi,         Theta,           Psi,         Gamma,             h,             T,             x,             y,             z,         Power,      PowerMax,           rpm
+0.0000000000e+000, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988830e+000, +0.0000000000e+000, +5.5000000000e+001, +5.4960401948e+001, +0.0000000000e+000, +2.0866761722e+000, +0.0000000000e+000, +5.5926589189e-008, +0.0000000000e+000, +0.0000000000e+000, +2.1742988830e+000, +0.0000000000e+000, -1.1899902464e-016, +3.0000000000e+003, +6.5066180382e+002, +5.5000000000e-001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988835e+000, +0.0000000000e+000, +5.4999999998e+001, +5.4960401946e+001, +0.0000000000e+000, +2.0866761731e+000, +0.0000000000e+000, +1.0996218932e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988836e+000, +0.0000000000e+000, -4.6852241064e-010, +3.0000000000e+003, +6.5066180382e+002, +1.1000000000e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+2.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988845e+000, +0.0000000000e+000, +5.4999999996e+001, +5.4960401944e+001, +0.0000000000e+000, +2.0866761744e+000, +0.0000000000e+000, +1.6198762622e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988847e+000, +0.0000000000e+000, -9.1671677446e-010, +3.0000000000e+003, +6.5066180382e+002, +1.6499999999e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+3.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988860e+000, +0.0000000000e+000, +5.4999999994e+001, +5.4960401942e+001, +0.0000000000e+000, +2.0866761763e+000, +0.0000000000e+000, +2.1189972909e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988863e+000, +0.0000000000e+000, -1.3262173469e-009, +3.0000000000e+003, +6.5066180382e+002, +2.1999999999e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+4.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988880e+000, +0.0000000000e+000, +5.4999999992e+001, +5.4960401940e+001, +0.0000000000e+000, +2.0866761785e+000, +0.0000000000e+000, +2.5961079010e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988884e+000, +0.0000000000e+000, -1.6799817321e-009, +3.0000000000e+003, +6.5066180382e+002, +2.7499999998e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+5.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988904e+000, +0.0000000000e+000, +5.4999999990e+001, +5.4960401938e+001, +0.0000000000e+000, +2.0866761811e+000, +0.0000000000e+000, +3.0504799057e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988910e+000, +0.0000000000e+000, -1.9622831092e-009, +3.0000000000e+003, +6.5066180382e+002, +3.2999999997e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+6.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988932e+000, +0.0000000000e+000, +5.4999999988e+001, +5.4960401936e+001, +0.0000000000e+000, +2.0866761840e+000, +0.0000000000e+000, +3.4815279934e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988940e+000, +0.0000000000e+000, -2.1586951385e-009, +3.0000000000e+003, +6.5066180382e+002, +3.8499999996e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+7.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988963e+000, +0.0000000000e+000, +5.4999999986e+001, +5.4960401934e+001, +0.0000000000e+000, +2.0866761873e+000, +0.0000000000e+000, +3.8888034446e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742988975e+000, +0.0000000000e+000, -2.2560770888e-009, +3.0000000000e+003, +6.5066180382e+002, +4.3999999994e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+8.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742988998e+000, +0.0000000000e+000, +5.4999999984e+001, +5.4960401931e+001, +0.0000000000e+000, +2.0866761908e+000, +0.0000000000e+000, +4.2719876699e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989014e+000, +0.0000000000e+000, -2.2425487796e-009, +3.0000000000e+003, +6.5066180382e+002, +4.9499999993e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+9.0000000000e-002, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989035e+000, +0.0000000000e+000, +5.4999999982e+001, +5.4960401929e+001, +0.0000000000e+000, +2.0866761946e+000, +0.0000000000e+000, +4.6308855677e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989057e+000, +0.0000000000e+000, -2.1074661234e-009, +3.0000000000e+003, +6.5066180382e+002, +5.4999999991e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.0000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989075e+000, +0.0000000000e+000, +5.4999999980e+001, +5.4960401927e+001, +0.0000000000e+000, +2.0866761986e+000, +0.0000000000e+000, +4.9654187642e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989103e+000, +0.0000000000e+000, -1.8413900297e-009, +3.0000000000e+003, +6.5066180382e+002, +6.0499999989e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.1000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989118e+000, +0.0000000000e+000, +5.4999999978e+001, +5.4960401925e+001, +0.0000000000e+000, +2.0866762027e+000, +0.0000000000e+000, +5.2756187625e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989153e+000, +0.0000000000e+000, -1.4360545332e-009, +3.0000000000e+003, +6.5066180382e+002, +6.5999999987e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.2000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989162e+000, +0.0000000000e+000, +5.4999999976e+001, +5.4960401923e+001, +0.0000000000e+000, +2.0866762070e+000, +0.0000000000e+000, +5.5616200434e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989206e+000, +0.0000000000e+000, -8.8432831179e-010, +3.0000000000e+003, +6.5066180382e+002, +7.1499999984e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.3000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989207e+000, +0.0000000000e+000, +5.4999999974e+001, +5.4960401920e+001, +0.0000000000e+000, +2.0866762114e+000, +0.0000000000e+000, +5.8236531482e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989261e+000, +0.0000000000e+000, -1.8017646669e-010, +3.0000000000e+003, +6.5066180382e+002, +7.6999999982e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.4000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989254e+000, +0.0000000000e+000, +5.4999999972e+001, +5.4960401918e+001, +0.0000000000e+000, +2.0866762160e+000, +0.0000000000e+000, +6.0620377644e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989319e+000, +0.0000000000e+000, +6.8138025561e-010, +3.0000000000e+003, +6.5066180382e+002, +8.2499999979e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.5000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989302e+000, +0.0000000000e+000, +5.4999999970e+001, +5.4960401916e+001, +0.0000000000e+000, +2.0866762206e+000, +0.0000000000e+000, +6.2771758616e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989380e+000, +0.0000000000e+000, +1.7043094649e-009, +3.0000000000e+003, +6.5066180382e+002, +8.7999999976e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.6000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989351e+000, +0.0000000000e+000, +5.4999999967e+001, +5.4960401914e+001, +0.0000000000e+000, +2.0866762252e+000, +0.0000000000e+000, +6.4695448887e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989443e+000, +0.0000000000e+000, +2.8916124000e-009, +3.0000000000e+003, +6.5066180382e+002, +9.3499999972e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.7000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989400e+000, +0.0000000000e+000, +5.4999999965e+001, +5.4960401912e+001, +0.0000000000e+000, +2.0866762299e+000, +0.0000000000e+000, +6.6396910689e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989508e+000, +0.0000000000e+000, +4.2453695046e-009, +3.0000000000e+003, +6.5066180382e+002, +9.8999999969e+000, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.8000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989450e+000, +0.0000000000e+000, +5.4999999963e+001, +5.4960401909e+001, +0.0000000000e+000, +2.0866762346e+000, +0.0000000000e+000, +6.7882228034e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989574e+000, +0.0000000000e+000, +5.7667891888e-009, +3.0000000000e+003, +6.5066180382e+002, +1.0449999997e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+1.9000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989499e+000, +0.0000000000e+000, +5.4999999961e+001, +5.4960401907e+001, +0.0000000000e+000, +2.0866762392e+000, +0.0000000000e+000, +6.9158042266e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989642e+000, +0.0000000000e+000, +7.4562556516e-009, +3.0000000000e+003, +6.5066180382e+002, +1.0999999996e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+2.0000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989549e+000, +0.0000000000e+000, +5.4999999959e+001, +5.4960401905e+001, +0.0000000000e+000, +2.0866762438e+000, +0.0000000000e+000, +7.0231488993e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989711e+000, +0.0000000000e+000, +9.3133778307e-009, +3.0000000000e+003, +6.5066180382e+002, +1.1549999996e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+2.1000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989598e+000, +0.0000000000e+000, +5.4999999957e+001, +5.4960401903e+001, +0.0000000000e+000, +2.0866762484e+000, +0.0000000000e+000, +7.1110136934e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989781e+000, +0.0000000000e+000, +1.1337038354e-008, +3.0000000000e+003, +6.5066180382e+002, +1.2099999995e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+2.2000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989646e+000, +0.0000000000e+000, +5.4999999955e+001, +5.4960401900e+001, +0.0000000000e+000, +2.0866762529e+000, +0.0000000000e+000, +7.1801928586e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989852e+000, +0.0000000000e+000, +1.3525444514e-008, +3.0000000000e+003, +6.5066180382e+002, +1.2649999995e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813489e+001, +5.1109252716e+263
+2.3000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989694e+000, +0.0000000000e+000, +5.4999999953e+001, +5.4960401898e+001, +0.0000000000e+000, +2.0866762573e+000, +0.0000000000e+000, +7.2315122912e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989924e+000, +0.0000000000e+000, +1.5876175655e-008, +3.0000000000e+003, +6.5066180382e+002, +1.3199999994e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813488e+001, +5.1109252716e+263
+2.4000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989740e+000, +0.0000000000e+000, +5.4999999951e+001, +5.4960401896e+001, +0.0000000000e+000, +2.0866762616e+000, +0.0000000000e+000, +7.2658240245e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742989996e+000, +0.0000000000e+000, +1.8386233644e-008, +3.0000000000e+003, +6.5066180382e+002, +1.3749999994e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813488e+001, +5.1109252716e+263
+2.5000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989786e+000, +0.0000000000e+000, +5.4999999949e+001, +5.4960401893e+001, +0.0000000000e+000, +2.0866762658e+000, +0.0000000000e+000, +7.2840009406e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990069e+000, +0.0000000000e+000, +2.1052089831e-008, +3.0000000000e+003, +6.5066180382e+002, +1.4299999993e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813488e+001, +5.1109252716e+263
+2.6000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989830e+000, +0.0000000000e+000, +5.4999999947e+001, +5.4960401891e+001, +0.0000000000e+000, +2.0866762698e+000, +0.0000000000e+000, +7.2869317233e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990142e+000, +0.0000000000e+000, +2.3869734468e-008, +3.0000000000e+003, +6.5066180382e+002, +1.4849999993e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813488e+001, +5.1109252716e+263
+2.7000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989874e+000, +0.0000000000e+000, +5.4999999945e+001, +5.4960401889e+001, +0.0000000000e+000, +2.0866762737e+000, +0.0000000000e+000, +7.2755160479e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990215e+000, +0.0000000000e+000, +2.6834722726e-008, +3.0000000000e+003, +6.5066180382e+002, +1.5399999992e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020102e+001, +8.389892813488e+001, +5.1109252716e+263
+2.8000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989915e+000, +0.0000000000e+000, +5.4999999942e+001, +5.4960401887e+001, +0.0000000000e+000, +2.0866762775e+000, +0.0000000000e+000, +7.2506600250e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990288e+000, +0.0000000000e+000, +2.9942220203e-008, +3.0000000000e+003, +6.5066180382e+002, +1.5949999992e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020101e+001, +8.389892813487e+001, +5.1109252716e+263
+2.9000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989956e+000, +0.0000000000e+000, +5.4999999940e+001, +5.4960401884e+001, +0.0000000000e+000, +2.0866762812e+000, +0.0000000000e+000, +7.2132718910e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990360e+000, +0.0000000000e+000, +3.3187048034e-008, +3.0000000000e+003, +6.5066180382e+002, +1.6499999991e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020101e+001, +8.389892813487e+001, +5.1109252716e+263
+3.0000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742989994e+000, +0.0000000000e+000, +5.4999999938e+001, +5.4960401882e+001, +0.0000000000e+000, +2.0866762846e+000, +0.0000000000e+000, +7.1642579631e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990432e+000, +0.0000000000e+000, +3.6563727205e-008, +3.0000000000e+003, +6.5066180382e+002, +1.7049999991e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020101e+001, +8.389892813487e+001, +5.1109252716e+263
+3.1000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990032e+000, +0.0000000000e+000, +5.4999999936e+001, +5.4960401880e+001, +0.0000000000e+000, +2.0866762880e+000, +0.0000000000e+000, +7.1045188430e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990504e+000, +0.0000000000e+000, +4.0066519086e-008, +3.0000000000e+003, +6.5066180382e+002, +1.7599999990e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020101e+001, +8.389892813486e+001, +5.1109252716e+263
+3.2000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990067e+000, +0.0000000000e+000, +5.4999999934e+001, +5.4960401878e+001, +0.0000000000e+000, +2.0866762911e+000, +0.0000000000e+000, +7.0349458803e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990575e+000, +0.0000000000e+000, +4.3689467187e-008, +3.0000000000e+003, +6.5066180382e+002, +1.8149999989e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020101e+001, +8.389892813486e+001, +5.1109252716e+263
+3.3000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990101e+000, +0.0000000000e+000, +5.4999999932e+001, +5.4960401875e+001, +0.0000000000e+000, +2.0866762941e+000, +0.0000000000e+000, +6.9564179035e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990645e+000, +0.0000000000e+000, +4.7426435679e-008, +3.0000000000e+003, +6.5066180382e+002, +1.8699999989e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020101e+001, +8.389892813485e+001, +5.1109252716e+263
+3.4000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990133e+000, +0.0000000000e+000, +5.4999999930e+001, +5.4960401873e+001, +0.0000000000e+000, +2.0866762969e+000, +0.0000000000e+000, +6.8697981928e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990715e+000, +0.0000000000e+000, +5.1271147982e-008, +3.0000000000e+003, +6.5066180382e+002, +1.9249999988e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020100e+001, +8.389892813485e+001, +5.1109252716e+263
+3.5000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990163e+000, +0.0000000000e+000, +5.4999999927e+001, +5.4960401871e+001, +0.0000000000e+000, +2.0866762995e+000, +0.0000000000e+000, +6.7759317167e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990783e+000, +0.0000000000e+000, +5.5217219824e-008, +3.0000000000e+003, +6.5066180382e+002, +1.9799999987e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020100e+001, +8.389892813485e+001, +5.1109252716e+263
+3.6000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990191e+000, +0.0000000000e+000, +5.4999999925e+001, +5.4960401868e+001, +0.0000000000e+000, +2.0866763020e+000, +0.0000000000e+000, +6.6756426085e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990851e+000, +0.0000000000e+000, +5.9258196571e-008, +3.0000000000e+003, +6.5066180382e+002, +2.0349999986e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020100e+001, +8.389892813484e+001, +5.1109252716e+263
+3.7000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990217e+000, +0.0000000000e+000, +5.4999999923e+001, +5.4960401866e+001, +0.0000000000e+000, +2.0866763043e+000, +0.0000000000e+000, +6.5697318960e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990918e+000, +0.0000000000e+000, +6.3387582539e-008, +3.0000000000e+003, +6.5066180382e+002, +2.0899999986e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020100e+001, +8.389892813483e+001, +5.1109252716e+263
+3.8000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990242e+000, +0.0000000000e+000, +5.4999999921e+001, +5.4960401864e+001, +0.0000000000e+000, +2.0866763064e+000, +0.0000000000e+000, +6.4589754696e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742990984e+000, +0.0000000000e+000, +6.7598873632e-008, +3.0000000000e+003, +6.5066180382e+002, +2.1449999985e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020099e+001, +8.389892813483e+001, +5.1109252716e+263
+3.9000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990265e+000, +0.0000000000e+000, +5.4999999919e+001, +5.4960401862e+001, +0.0000000000e+000, +2.0866763083e+000, +0.0000000000e+000, +6.3441222780e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742991048e+000, +0.0000000000e+000, +7.1885584785e-008, +3.0000000000e+003, +6.5066180382e+002, +2.1999999984e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020099e+001, +8.389892813482e+001, +5.1109252716e+263
+4.0000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990286e+000, +0.0000000000e+000, +5.4999999916e+001, +5.4960401859e+001, +0.0000000000e+000, +2.0866763101e+000, +0.0000000000e+000, +6.2258927562e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742991112e+000, +0.0000000000e+000, +7.6241275561e-008, +3.0000000000e+003, +6.5066180382e+002, +2.2549999983e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020099e+001, +8.389892813481e+001, +5.1109252716e+263
+4.1000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990305e+000, +0.0000000000e+000, +5.4999999914e+001, +5.4960401857e+001, +0.0000000000e+000, +2.0866763117e+000, +0.0000000000e+000, +6.1049774755e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742991174e+000, +0.0000000000e+000, +8.0659578388e-008, +3.0000000000e+003, +6.5066180382e+002, +2.3099999982e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020099e+001, +8.389892813481e+001, +5.1109252716e+263
+4.2000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990323e+000, +0.0000000000e+000, +5.4999999912e+001, +5.4960401855e+001, +0.0000000000e+000, +2.0866763131e+000, +0.0000000000e+000, +5.9820359976e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742991235e+000, +0.0000000000e+000, +8.5134217799e-008, +3.0000000000e+003, +6.5066180382e+002, +2.3649999981e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020098e+001, +8.389892813480e+001, +5.1109252716e+263
+4.3000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990338e+000, +0.0000000000e+000, +5.4999999910e+001, +5.4960401852e+001, +0.0000000000e+000, +2.0866763144e+000, +0.0000000000e+000, +5.8576959451e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742991295e+000, +0.0000000000e+000, +8.9659034457e-008, +3.0000000000e+003, +6.5066180382e+002, +2.4199999980e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020098e+001, +8.389892813479e+001, +5.1109252716e+263
+4.4000000000e-001, +1.0430000000e+003, +5.2150000000e+001, +0.0000000000e+000, -4.8339676857e+000, +0.0000000000e+000, +2.018661499023e+001, +2.1742990353e+000, +0.0000000000e+000, +5.4999999907e+001, +5.4960401850e+001, +0.0000000000e+000, +2.0866763155e+000, +0.0000000000e+000, +5.7325522519e-007, +0.0000000000e+000, +0.0000000000e+000, +2.1742991353e+000, +0.0000000000e+000, +9.4228002917e-008, +3.0000000000e+003, +6.5066180382e+002, +2.4749999980e+001, +0.0000000000e+000, -3.0000000000e+003, +4.426350020097e+001, +8.389892813478e+001, +5.1109252716e+263
